Name,Area_km2,Perimeter_km,Centroid,Country,Land Use,Primary_Diameter (m),Secondary_Diameter (m),Average Diameter
Los Loros Maar,2.67,6.1,,Argentina,Forrest ,1857,1821,1839
Monoum Maar,0.48,2.54,,Cameroon,Water_Farming,910,740,825
Debunscha Maar,0.12,1.27,,Cameroon,"Water, coastal",410,390,400
Lake Dissoni/Soden maar,2.63,5.81,,Cameroon,Forrest,1845,1814,1829.5
Carran Pillanilahue,1.15,3.93,,Chile ,Forrest,1609,1277,1443
Laguna Porcura,0.34,2.12,,Chile ,Forrest,703,627,665
Laguna del Rio Cuarto,0.44,2.41,,Costa Rica,Forrest ,775,627,701
Lac Chauvet ,0.65,3.1,,France,Forrest,1012,921,966.5
Lac Pavin ,0.69,3.01,,France,Forrest,933,886,909.5
Maar D Anchal,0.65,3.1,,France,Forrest  ,1016,780,898
Gour de Tazenat,0.61,2.82,,France,Forrest,939,824,881.5
Lac de'n Haut ,0.15,1.42,,France ,Forrest  ,494,386,440
Ulmen,0.12,1.28,"50.2102372°, 006.9827378°",GER,Water,436,347,391.5
Immerather Maar,0.4,2.45,,Germany,Forrest  ,1005,646,825.5
Dauner Maar,0.2,1.64,,Germany,Forrest  ,510,409,459.5
Meerfeld Maar,1.91,5,,Germany,Forrest  ,1685,1500,1592.5
Pulvermaar Maar,0.46,2.45,,Germany ,Forrest,971,899,935
Holz Maar,0.05,0.86,,Germany ,Forrest,301,278,289.5
Schalkenmehrener Maar ,0.25,1.82,,Germany ,Forrest  ,620,497,558.5
Gemundener Maar ,0.1,1.2,,Germany ,Forrest  ,389,328,358.5
Holz Maar 2 ,0.017,0.49,,Germany,Forrest ,185,130,157.5
laguna del Hoyo,0.41,2.32,,Guatemala,Forrest,787,704,745.5
Ranu Bedali,0.97,3.98,,Indonesia,"Forrest, small lake",1400,1000,1200
R. Segaran Duwas,0.29,1.95,,Indonesia,Forrest  ,650,580,615
R. Segaran Merah,0.15,1.35,,Indonesia,Forrest  ,467,412,439.5
Candidate Maars 4 ,0.32,2.1,,Indonesia,Forrest,647,569,608
Candidate Maars 5 ,0.05,0.77,,Indonesia,Forrest  ,259,239,249
Candidate Maars 6 ,0.04,0.65,,Indonesia,Forrest  ,230,185,207.5
R. Kembar,0.65,2.94,,Indonesia,Forrest  ,1029,850,939.5
E of R. Kembar ,0.09,1.1,,Indonesia,Forrest  ,377,320,348.5
R. Tangke Maars,0.2,1.8,,Indonesia,Forrest  ,662,377,519.5
Pateranandjur ,0.38,2.24,,Indonesia,Forrest  ,785,583,684
Logung ,0.15,1.4,,Indonesia,Forrest  ,472,432,452
R. Wulung,0.15,1.39,,Indonesia,Forrest  ,462,433,447.5
R. Lading Maar,0.09,1.1,,Indonesia,Forrest  ,406,297,351.5
R. Kambang,0.13,1.34,,Indonesia,Forrest  ,516,332,424
R. Semunguka ,0.27,1.96,,Indonesia,Forrest  ,713,550,631.5
Ran Lamongan,0.42,2.35,,Indonesia,Forrest  ,761,655,708
Ranu Pakis,0.61,2.79,,Indonesia,Forrest  ,955,849,902
Ranu Semungka,0.27,1.95,,Indonesia,Forrest  ,708,540,624
Ranu Air,0.46,2.51,,indonesia,forrest and farm,868,753,810.5
R. Gunungparang,0.23,1.87,,indonesia,forrest and farm,1070,753,911.5
Ranu Wurung,0.62,2.92,,indonesia,forrest and farm,955,906,930.5
R. Gedang,0.18,1.54,,indonesia,forrest,495,449,472
Ranua Agong ,0.47,2.53,,Indonesia ,Forrest  ,850,660,755
Ranu Bedali East,0.83,3.3,,Indonesia,Forrest ,1015,878,946.5
Ranu Bedali West,0.29,2,,Indonesia,Forrest ,661,632,646.5
Martignano,5.32,9.19,"42.1147764°, 012.3194897°",ITA,Water,3120,2320,2720
Stracciacappa,1.64,4.66,"42.1308176°, 012.3229542°",ITA,Farming,1570,1380,1475
Lago de Nemi,5.88,9.14,,ITA,Urban City ,3355,2164,2759.5
Lago Albano,9.45,11.5,,Italy,Urban City ,4254,2900,3577
Solfatara,0.32,2.1,,Italy,Urban City ,706,633,669.5
Fondi di Baia,0.35,2.49,,Italy,Urban City ,781,531,656
Averno,1.14,4.15,,Italy,Urban City ,1437,1144,1290.5
Prata Porci,1.29,4.1,,Italy,Farming,1380,1260,1320
Sumiyoshiike,0.17,1.61,"31.7715495°, 130.5917777°",JPN,Water,494,470,482
Ichinomegata,0.28,2.04,"39.9546720°, 139.7391255°",JPN,Water ,645,520,582.5
Ninomegata,0.09,1.17,"39.9525775°, 139.7284641°",JPN,Water ,401,270,335.5
Sannomegata,0.11,1.25,"39.9426654°, 139.7140385°",JPN,Water ,400,320,360
Rincon ,0.98,3.78,"20.4313857°, -101.2494601°",MEX,Water,1990,1650,1820
Espinos,0.33,2.06,"19.9068794°, -101.7682947°",MEX,Water ,705,565,635
Aljojuca_Maar,1,3.9,"19.0914786°, -097.5333398°",MEX,Water_Urban,1505,930,1217.5
Atexcac_Maar,1,3.86,"19.3342698°, -097.4513198°",MEX,Water,1260,1000,1130
Tepexitl,0.79,3.17,"19.2234701°, -097.4295195°",MEX,Plants,1030,990,1010
Uruapan1,1.04,3.69,"19.4488144°, -102.0646002°",MEX,Plants,1130,1060,1095
Guadalupe,0.63,2.9,"19.8073576°, -101.4543782°",MEX,Water_Urban,975,840,907.5
Serdan_Oriental 1,0.69,2.99,"19.0798524°, -097.4651156°",MEX,Plants,960,930,945
Serdan_Oriental 2,0.78,3.48,"19.0927258°, -097.4763111°",MEX,Plants,1135,940,1037.5
